Model,Train_R2,Test_R2,Test_MAE_K,Test_RMSE_K
Baseline XGBoost,0.9793,0.8835,25.859,38.4042
Optimized XGBoost,0.9902890096618712,0.8877717963689375,25.158533820847154,37.687814816196926
