Model,Train_R2,Test_R2,Test_MAE_K,Test_RMSE_K,Training_Time_s
XGBoost,0.9792780848732892,0.8834648945888867,25.85897684167166,38.404165996875896,0.9331581592559814
Random Forest,0.9832872390759446,0.8729233648544704,27.41459544323844,40.10354874627326,2.9524176120758057
Linear Regression,0.7827256865328959,0.7688203763524151,40.27566213687568,54.0909647833441,0.02818012237548828
