Evaluation,Evaluation_Type,R2,MAE_K,RMSE_K
Linear Regression,Random split baseline,0.7688203763524151,40.27566213687568,54.0909647833441
Random Forest,Random split baseline,0.8729233648544704,27.41459544323844,40.10354874627326
Baseline XGBoost,Random split baseline,0.8834648945888867,25.85897684167166,38.404165996875896
Optimized XGBoost,Random split,0.8877717963689375,25.15853382084715,37.687814816196926
Cluster-based XGBoost,Chemical-space-aware split,0.8578556987430214,30.785164295881884,42.312082441296226
Tanimoto < 0.60,Low-similarity OOD,0.8134033233780111,33.39102301464313,45.958769216289014
Tanimoto < 0.50,Low-similarity OOD,0.7038939025427685,37.720275719887454,51.23805379366105
Tanimoto < 0.40,Low-similarity OOD,0.6011732718954734,50.883201778636256,66.51849014156292
