Split,Train_R2,Test_R2,Test_MAE_K,Test_RMSE_K
Random,0.9902890096618712,0.8877717963689375,25.158533820847154,37.687814816196926
Cluster-based,0.990293725209489,0.8578556987430214,30.785164295881884,42.312082441296226
