Rank,Feature,Mean_Abs_SHAP
79,sidechainlevel.features.num_hbond_acceptors_sidechainfeaturizer_sum,0.17081006
80,sidechainlevel.features.star_to_sidechain_min_distance_max,0.137049
81,sidechainlevel.features.triple_bonds_sidechainfeaturizer_sum,0.13659337
82,sidechainlevel.features.num_rings_sidechainfeaturizer_sum,0.1319447
83,sidechainlevel.features.num_aromatic_rings_sidechainfeaturizer_sum,0.123528935
84,sidechainlevel.features.fraction_bicyclic_rings_sidechainfeaturizer_sum,0.11228864
85,sidechainlevel.features.fluorine_count_sidechainfeaturizer_sum,0.10782853
86,sidechainlevel.features.total_halogens_sidechainfeaturizer_sum,0.10699461
87,sidechainlevel.features.num_aliphatic_heterocycles_sidechainfeaturizer_sum,0.097565524
88,sidechainlevel.features.chlorine_count_sidechainfeaturizer_sum,0.088101104
89,backbonelevel.features.triple_bonds_sum_backbonefeaturizer,0.069594465
90,backbonelevel.features.bridging_rings_count_sum_backbonefeaturizer,0.06563328
91,sidechainlevel.features.num_non_aromatic_rings_sidechainfeaturizer_sum,0.06441587
92,backbonelevel.features.chlorine_count_sum_backbonefeaturizer,0.061416104
93,sidechainlevel.features.max_ring_size_sidechainfeaturizer_sum,0.057836216
94,backbonelevel.features.bromine_count_sum_backbonefeaturizer,0.048368137
95,backbonelevel.features.fluorine_count_sum_backbonefeaturizer,0.043835495
96,sidechainlevel.features.bromine_count_sidechainfeaturizer_sum,0.008363665
97,fullpolymerlevel.features.fluorine_count_sum_fullpolymerfeaturizer,0.00802584
98,sidechainlevel.features.bridging_rings_count_sidechainfeaturizer_sum,0.0038124267
99,fullpolymerlevel.features.bromine_count_sum_fullpolymerfeaturizer,0.0025708433
