mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,CV_MAE_K,Train_MAE_K
7.593732404708862,0.2061293663996668,0.02164902687072754,0.005417152383159367,0.7,10.0,0.5,500,1,8,0.05,1.0,"{'subsample': 0.7, 'reg_lambda': 10.0, 'reg_alpha': 0.5, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-26.828032711634098,-26.1975588344739,-24.521950207840497,-26.04959257686077,-27.167032452050616,-26.15283335657198,0.9118040190886672,1,-6.18906050463981,-5.993553705033378,-6.326803114724755,-6.041549178413722,-5.793456960182554,-6.068884692598844,0.1806912073560627,26.15283335657198,6.068884692598844
8.107281303405761,0.18960818075524677,0.030335235595703124,0.0039205603180787925,0.9,10.0,0.1,1200,5,7,0.05,1.0,"{'subsample': 0.9, 'reg_lambda': 10.0, 'reg_alpha': 0.1, 'n_estimators': 1200, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-26.46981031888617,-26.33049888811443,-24.472664986983308,-26.088039507776852,-27.781294160852614,-26.22846157252268,1.0566446786486972,2,-4.045285981946644,-3.8391178814415006,-4.139858447509041,-4.034373887775053,-3.889913778489113,-3.9897099954322703,0.10978650274936205,26.22846157252268,3.9897099954322703
3.5434414386749267,0.18010072623127063,0.018041372299194336,0.0027112174223976383,1.0,5.0,0.1,900,5,6,0.08,0.8,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 900, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",-26.420288733044753,-26.83248382749549,-24.706113518350097,-26.497783630578343,-27.804349323784358,-26.45220380665061,1.002480701153752,3,-5.7002671494805615,-5.389491153113356,-6.144004494590581,-5.76220375205047,-5.421369214022526,-5.683467152651499,0.2733838155548686,26.45220380665061,5.683467152651499
1.7395602226257325,0.06033013962393494,0.012895631790161132,0.00339905571879925,0.9,5.0,1.0,500,7,6,0.08,0.8,"{'subsample': 0.9, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 6, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",-26.696314519699396,-26.941482947222553,-24.751160706964157,-26.552927046615522,-27.694333309050528,-26.527243705910433,0.9713297775741849,4,-9.677034069088792,-9.26768567311445,-9.937916672795215,-9.834141232503686,-9.439540751160898,-9.631263679732609,0.24748209484768796,26.527243705910433,9.631263679732609
2.923237657546997,0.13128415502925916,0.012025165557861327,0.00265096375681795,0.7,2.0,1.0,300,1,7,0.08,1.0,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.08, 'colsample_bytree': 1.0}",-26.695960948578474,-26.338878498417124,-24.7823168634701,-26.714024572712454,-28.139736281493725,-26.534183432934373,1.0717737862342978,5,-7.488814034217183,-7.174982020783129,-7.680366777396576,-7.349563204978707,-7.225544694433282,-7.3838541463617755,0.18373983481889736,26.534183432934373,7.3838541463617755
4.419558715820313,0.1238924168180733,0.019825029373168945,0.003830907703306058,1.0,5.0,0.01,700,7,8,0.1,0.7,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.01, 'n_estimators': 700, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",-27.251965145664364,-26.1788524696926,-25.14098807997376,-26.062808234792815,-28.137154968987097,-26.55435377982213,1.0365463887766275,6,-2.6618865804951417,-2.501902512820231,-2.7782327768991797,-2.7025384656111227,-2.517594675559633,-2.6324310022770616,0.10701954352368635,26.55435377982213,2.6324310022770616
3.401334524154663,0.05785008508209153,0.01655721664428711,0.0031569162602023268,0.9,1.0,1.0,900,3,6,0.1,0.7,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 1.0, 'n_estimators': 900, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",-27.3333162647147,-26.630508814739713,-24.965709694432846,-25.980012843289074,-27.8879124080224,-26.55949200503975,1.0241568524097062,7,-2.5680416015573204,-2.473818562911838,-2.6080394238944162,-2.5398816739969257,-2.511784199104835,-2.540313092293067,0.046024629328472864,26.55949200503975,2.540313092293067
5.626667451858521,0.1625339708707865,0.025149774551391602,0.00334743459454746,1.0,10.0,0.5,900,7,8,0.1,0.8,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.5, 'n_estimators': 900, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",-27.111969180507515,-26.415173459946853,-24.835736191145337,-26.26644712697468,-28.251869570565347,-26.57623910582795,1.11767685631723,8,-2.129086733572454,-2.105604331041221,-2.194527375160965,-2.2137832732863036,-2.0608318495037445,-2.1407667125129377,0.0565402941248748,26.57623910582795,2.1407667125129377
1.910241460800171,0.08461636907651127,0.013600301742553712,0.002496913222282631,1.0,1.0,0.01,700,3,5,0.1,0.8,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 700, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",-26.34371145311506,-26.78220077605243,-25.109123017470445,-26.691242910491994,-28.056526881996763,-26.59656100782534,0.9435392744823409,9,-7.951551020496419,-7.644223564190027,-8.21880771434656,-8.012655463080137,-7.743521042824804,-7.914151760987589,0.20292511291702714,26.59656100782534,7.914151760987589
3.3911976337432863,0.10745327663183651,0.02121148109436035,0.003000647951067306,0.7,10.0,1.0,700,7,6,0.1,1.0,"{'subsample': 0.7, 'reg_lambda': 10.0, 'reg_alpha': 1.0, 'n_estimators': 700, 'min_child_weight': 7, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-27.364989201591825,-26.79522480143643,-24.4506518244076,-26.7744865295721,-27.601433775404722,-26.597357226482536,1.120383774948077,10,-6.1334330891288324,-6.096295857807817,-6.092643996745689,-6.098948120634983,-5.967769800892057,-6.077818173041876,0.05694096534530779,26.597357226482536,6.077818173041876
