Similarity_Group,Samples,Mean_Similarity,R2,MAE_K,RMSE_K
< 0.50,261,0.42738015504236837,0.8612729815481839,32.95143761178086,44.44117673130049
0.50 - 0.60,476,0.5528655569895082,0.8201769455528665,31.039560360948578,42.805725052728285
0.60 - 0.70,321,0.6488553403196738,0.8576301014580731,28.137444395261383,37.733972718508085
0.70 - 0.80,223,0.7451682758527488,0.8338346489021234,34.10010293045386,48.37740067070611
>= 0.80,194,0.8519828385764896,0.8795382847722936,27.8171071318007,37.58714462401323
