OOD_Definition,Samples,R2,MAE_K,RMSE_K
Tanimoto < 0.60,737,0.8134033233780111,33.39102301464313,45.958769216289014
Tanimoto < 0.50,261,0.7038939025427685,37.720275719887454,51.23805379366105
Tanimoto < 0.40,68,0.6011732718954734,50.883201778636256,66.51849014156292
