Similarity_Group,Samples,Mean_Similarity,R2,MAE_K,RMSE_K
< 0.50,261,0.42738015504236837,0.7038939025427685,37.720275719887454,51.23805379366105
0.50 to 0.60,476,0.5528655569895082,0.855170845936463,31.01721008172556,42.788427663761475
0.60 to 0.70,321,0.6488553403196738,0.8457769419992708,31.68171605570665,43.26902281834334
0.70 to 0.80,223,0.7451682758527488,0.8741707888773845,27.29230863973164,35.80516615937723
>= 0.80,194,0.8519828385764896,0.9128941146852363,23.41710151593709,31.878146152444913
