Fold,R2,MAE_K,RMSE_K,Training_Time_s
1,0.8849314547383986,26.828032711634098,38.27818305446463,1.687927007675171
2,0.8734912654629006,26.1975588344739,39.80472045970089,1.7146859169006348
3,0.9016648112645469,24.521950207840497,34.958241433955195,1.6876261234283447
4,0.8861089757532288,26.04959257686077,38.206313680874395,1.725024938583374
5,0.8766229079058419,27.167032452050616,39.9945655960939,1.7592999935150146
